x1,x2,y
7.8704,10.957,3
6.0672,19.8695,5
21.8544,11.164,27
16.1826,8.8962,13
9.1837,9.8484,3
22.227,15.028,26
26.4061,14.5312,12
12.6337,21.8176,10
16.2746,16.1412,14
14.0666,26.9903,22
12.5118,8.933,19
21.8406,7.001,25
22.917,11.1272,27
16.1734,15.2212,14
23.2873,23.1148,4
20.5296,27.6228,7
21.7785,7.1482,11
4.4457,27.3008,20
8.9215,10.0577,3
9.0825,22.5605,21
28.2898,17.9536,18
15.2051,14.039,14
9.2573,22.0246,21
7.2103,11.1249,3
11.0973,13.1328,17
20.7504,5.2898,25
17.7512,26.7902,9
10.083,24.1015,28
21.7739,4.0938,25
27.5768,21.5899,24
26.1347,5.0161,1
9.209,11.0467,3
9.3999,23.6622,28
20.2375,19.3405,15
22.7399,11.5044,27
26.321,22.0292,24
21.1368,28.2576,7
17.0842,25.424,9
22.0315,12.2726,27
27.7102,6.2535,1
22.7077,15.3845,26
8.8456,10.3866,3
16.1918,21.468,29
11.164,21.974,10
5.1311,16.6817,31
21.3829,8.8571,11
5.9016,27.8045,20
11.5665,8.9905,19
27.0386,15.8077,18
16.4126,9.7656,13
11.7436,13.8964,17
18.0272,12.6176,2
25.4447,24.0049,4
15.1844,9.7311,13
17.2866,12.2933,2
11.601,8.9813,19
14.0873,28.6118,22
19.1335,26.298,9
16.9692,14.7612,14
26.7488,22.7054,24
24.435,27.8137,23
19.7821,20.2237,15
15.5938,15.0487,14
11.4699,6.8929,19
22.7491,16.6909,26
5.7498,17.0014,31
27.7976,18.2917,18
17.4752,24.6972,9
9.4344,12.3485,3
22.0637,27.8965,7
15.3868,26.2612,22
23.4,18.3929,26
21.1506,28.1633,7
20.962,27.2042,7
24.3039,4.8827,1
13.7975,21.3392,10
15.0372,9.554,13
26.4958,5.9039,1
4.7033,9.3608,30
27.3192,22.4041,24
9.8783,19.5567,21
22.6571,5.2806,25
22.7215,11.1134,27
15.9871,9.8139,13
17.4867,10.6626,2
25.7092,15.0119,12
8.795,15.1867,16
27.8666,29.2903,23
26.3578,21.6359,24
5.069,10.8397,30
13.4939,18.3193,8
5.4117,19.3405,5
11.5458,7.3667,19
16.7277,13.8688,14
11.1778,14.1839,17
24.9318,23.8623,4
13.9792,17.4729,8
16.8197,12.1162,2
5.7935,10.6005,30
3.8017,10.704,30
9.7886,24.5592,28
24.9571,28.4646,23
8.8916,14.6968,16
26.7741,8.8272,6
23.837,24.8536,4
24.6328,6.7503,1
28.4117,18.1192,18
8.7191,15.7939,16
16.8059,11.1318,2
8.4132,21.1115,21
21.6175,27.3767,7
16.3206,12.0679,2
27.2525,21.8613,24
4.1329,28.3266,20
5.736,16.9991,31
23.5426,8.8778,11
26.3946,16.7967,12
11.0812,8.4523,19
15.7985,13.7998,14
17.1992,12.5969,2
6.8055,9.4459,30
11.4009,8.4086,19
10.4395,14.5565,17
22.0131,8.3603,11
28.1817,10.8673,6
13.4088,27.1513,22
24.596,24.458,4
18.7908,10.497,2
23.5702,8.0889,11
7.8681,19.4348,21
19.536,20.0581,15
25.6356,5.6371,1
5.2875,10.1497,30
4.0616,9.9979,30
16.0515,14.3081,14
9.4597,21.0471,21
14.9521,20.41,8
6.2144,11.6723,30
25.562,15.1476,12
17.6201,24.5845,9
22.963,15.9802,26
18.0824,27.6665,9
11.8379,8.1648,19
26.6522,14.2115,12
4.8735,9.8599,30
16.2171,25.4562,9
16.2309,14.7497,14
20.3709,6.0534,25
4.2594,21.0816,5
24.4166,28.5175,23
8.1671,15.3362,16
19.6694,19.9776,15
12.1967,9.3677,19
9.6828,21.5922,21
27.1168,5.6946,1
18.0939,26.0542,9
4.8344,27.0524,20
20.364,18.2457,15
17.5557,11.2123,2
26.1646,15.9687,18
11.21,14.2874,17
5.552,9.715,30
14.5634,7.2057,13
19.7936,19.3244,15
21.3346,20.3134,15
5.8441,17.3993,31
11.3963,7.5185,19
16.0653,22.5444,29
4.8482,9.3102,30
21.0402,19.1887,15
26.1416,28.5451,23
23.8439,7.8911,11
8.7168,14.2437,16
8.9215,21.2863,21
16.2723,9.1032,13
16.845,10.6672,2
15.2465,22.1695,29
11.3066,21.399,10
8.8732,15.2258,16
5.3565,27.1145,20
9.6368,8.1947,19
24.6397,24.251,4
11.0766,23.8715,28
24.826,15.2971,12
22.8043,15.4052,26
10.6741,8.4684,19
16.6886,14.7198,14
25.4286,28.0506,23
6.1086,17.3855,31
8.7237,15.189,16
7.5576,20.1616,21
25.0675,24.4925,4
11.4952,7.8451,19
13.2685,22.1925,10
26.7074,13.8573,12
23.8485,28.0069,23
7.645,14.9452,16
22.7537,5.5934,25
14.3173,27.5768,22
28.3933,16.822,18
5.4761,16.9186,31
16.0193,25.7368,9
18.3055,25.0169,9
24.8375,27.8896,23
14.4622,19.5912,8
4.5929,8.9054,30
7.9118,9.0848,3
6.012,19.7706,5
13.5238,18.1077,8
21.3576,6.4306,25
17.512,10.9915,2
18.3515,26.6476,9
5.483,11.1111,30
17.6868,11.4354,2
11.3641,7.0999,19
5.5244,20.4353,5
8.1809,15.7571,16
23.1654,15.2948,26
26.3118,14.5427,12
11.7551,23.9796,28
15.2925,16.4195,14
15.7042,22.1419,29
14.66,22.2569,29
5.3588,19.7062,5
20.3847,19.1197,15
11.2859,8.082,19
16.638,12.9649,2
9.6713,20.6906,21
7.0953,11.1433,3
26.4383,15.0418,12
11.3664,13.7814,17
9.3608,20.9551,21
24.8191,6.1316,1
14.5887,23.3172,29
25.8679,22.0039,24
19.9017,26.2589,7
23.8209,8.1464,11
26.9006,21.261,24
8.8019,11.3342,3
10.1796,24.6857,28
4.862,17.1118,31
18.0364,25.7552,9
4.7447,27.1214,20
22.963,14.8923,26
26.9443,10.865,6
12.9235,21.675,10
14.0068,28.3795,22
22.2247,5.6302,25
14.9406,22.526,29
22.963,11.9,27
5.8004,15.4972,31
24.6052,27.655,23
12.337,8.2614,19
16.5713,15.2764,14
25.4815,27.2479,23
17.9628,10.4625,2
20.9988,27.1329,7
8.7766,25.2837,28
14.016,10.1267,13
8.6409,22.4202,21
6.9872,17.2383,31
18.3607,11.8287,2
20.7849,27.5446,7
18.2963,25.3826,9
9.0825,22.135,28
16.3045,10.8765,2
11.2169,22.2454,10
9.3125,15.3592,16
15.0809,22.6709,29
6.1155,16.8772,31
15.3408,19.3888,8
6.4398,27.1329,20
5.897,17.3625,31
24.0555,16.5621,26
15.4719,26.8868,22
20.3709,10.9524,27
9.1538,21.7509,21
15.8008,14.2437,14
5.322,19.5705,5
21.468,27.3652,7
9.715,9.9151,3
24.0233,13.2179,27
26.2198,5.7337,1
8.4155,9.7633,3
21.7509,15.3776,26
12.0909,15.1476,17
7.5139,13.8044,16
24.412,27.4043,23
23.1056,27.724,7
25.1089,16.9025,12
15.0924,15.9894,14
11.6539,22.1971,10
17.3694,25.1043,9
8.5351,22.0315,21
4.9724,20.0167,5
25.3711,28.2898,23
25.3734,21.7762,24
26.9995,17.3234,18
12.2059,21.5899,10
10.7155,23.0527,28
24.7915,6.2627,1
11.5343,21.4036,10
24.2119,8.6156,11
12.6222,21.6175,10
9.1584,15.3247,16
16.1182,15.2534,14
10.129,14.4852,17
8.4201,19.6993,21
10.4119,25.9737,28
12.0357,7.5116,19
22.7606,11.4193,27
7.2126,15.488,16
25.0514,5.7475,1
23.9244,9.163,11
6.2673,18.7494,5
12.3002,8.6248,19
23.0389,7.1942,11
12.9718,15.3362,17
25.2492,5.6486,1
4.6619,10.4648,30
15.4558,8.45,13
22.3282,7.99,11
22.2454,5.8211,25
14.3127,25.9645,22
16.3804,15.0372,14
26.6085,18.4205,18
23.009,16.7116,26
21.3185,5.9177,25
13.0132,14.1954,17
11.6562,14.9843,17
23.0297,8.5075,11
16.7392,11.0306,2
19.6211,19.1266,15
27.3514,20.5894,24
6.1132,16.1872,31
25.999,4.8551,1
22.6893,9.2136,11
5.3266,16.6725,31
19.9385,18.1284,15
25.7253,6.7296,1
25.2285,4.7447,1
10.4441,24.0785,28
9.5586,16.7967,16
18.225,24.5891,9
14.9958,21.8866,29
25.3872,15.6628,12
20.6423,20.226,15
25.8311,18.0295,18
5.7636,10.5085,30
4.3353,10.1658,30
12.6245,19.3405,8
13.1627,26.8454,22
17.3464,25.2607,9
18.041,25.7575,9
13.8136,9.5655,13
11.3181,14.6347,17
5.7613,19.5889,5
8.8341,15.0855,16
17.6339,10.8144,2
22.4202,29.104,7
25.6701,10.9225,6
17.6132,13.4686,2
24.0601,27.1904,23
13.0109,7.9072,19
28.0,10.8903,6
22.296,6.0051,25
27.0386,10.037,6
24.7616,26.4866,23
24.6696,26.8523,23
9.9197,20.4928,21
25.0238,6.2742,1
22.5007,8.2476,11
17.3694,11.5596,2
24.9088,24.9295,4
5.4531,20.7067,5
25.5183,4.8229,1
17.098,13.5744,2
9.4781,20.6239,21
11.1111,14.1724,17
26.873,10.3613,6
21.813,7.0953,25
23.2114,7.967,11
21.3783,11.8586,27
26.8753,11.2882,6
11.9943,8.7858,19
24.0785,15.2833,26
13.901,18.1997,8
6.1523,18.9058,5
27.8942,10.4786,6
24.7064,24.3476,4
15.9756,10.1865,13
23.607,12.1553,27
8.7927,10.0876,3
6.1132,16.0446,31
21.8659,6.0028,25
23.4299,25.0652,4
19.0139,25.4539,9
20.7849,20.4767,15
14.4484,17.7811,8
23.2252,11.9989,27
18.9288,19.2853,15
11.9943,21.9625,10
23.0182,27.5423,7
11.5297,14.0528,17
15.5915,9.3033,13
21.9648,15.6605,26
6.2673,26.8638,20
24.6236,5.6877,1
10.5706,23.8761,28
24.4005,27.6872,23
23.1792,5.0713,25
9.1147,21.5784,21
5.6279,16.5667,31
13.05,18.2342,8
12.0587,7.7347,19
20.939,20.3341,15
15.2695,21.4933,29
4.8045,21.1989,5
3.9627,20.8884,5
10.5384,8.1648,19
26.9282,11.3917,6
22.6203,8.9169,11
19.7867,20.5963,15
23.0826,12.4566,27
5.7889,16.8933,31
10.5476,14.0666,17
25.3021,6.1431,1
5.6762,27.3238,20
17.8432,25.9622,9
8.8203,25.0905,28
24.0049,23.9129,4
28.2415,18.3032,18
21.5485,26.9213,7
27.7447,16.8749,18
26.9811,10.2969,6
16.3528,9.8783,13
22.9837,15.8974,26
4.7286,19.2761,5
17.811,11.4768,2
27.103,21.8475,24
5.3519,27.8413,20
5.6578,9.3424,30
23.5518,15.8422,26
20.6354,29.7871,7
20.18,21.3277,15
14.6738,27.7746,22
21.4519,4.701,25
9.1584,10.8535,3
21.7785,26.712,7
27.7194,13.7998,12
11.2767,13.2064,17
9.2113,21.9556,21
9.1584,20.9436,21
8.3925,21.2242,21
17.9651,12.5256,2
24.2717,27.6274,23
22.8572,9.1607,11
24.067,16.6058,26
16.6817,26.1117,9
22.6594,16.1504,26
25.1825,26.3578,23
20.2375,20.0328,15
25.7897,15.1453,12
5.4117,17.0819,31
7.2448,15.0096,16
22.3466,6.1316,25
11.0628,21.422,10
25.3389,27.8574,23
23.0366,15.6743,26
15.7042,22.8664,29
20.2007,25.7138,9
5.6808,27.9379,20
21.2909,27.8873,7
27.9862,17.3602,18
21.7325,27.8804,7
